,time_boot_ms,roll,pitch,yaw,Roll,Pitch,Yaw,Lat,Lon,vel,alt,time,nord,est,quota,NorthX,EastY
868,766.96,-0.0266276411712169,-0.0007862858474254,2.8042800426483154,500,5400,46000,482711063,373845151,1802,807.39,784.46,-848.0233920003781,736.7297298346898,661.9461139,-23870.33117934303,-25567.25432960998
869,767.442,-0.007854314520955,0.0018506795167922,2.795567512512207,400,5400,46000,482710927,373846592,1801,807.27,784.96,-849.5346240006683,734.902312652115,661.8294639999999,-622.8454652773183,-215.70022845901684
870,767.922,-0.038098644465208,-0.0088438913226127,2.7910685539245605,500,5400,46000,482710825,373847558,1810,807.05,785.45,-850.6680480004911,733.6770376209066,661.6128140999999,-20610.39472575123,-22156.26665380367
871,768.399,-0.0164296999573707,-0.0106341242790222,2.7931623458862305,500,5400,45700,482710668,373849012,1798,806.89,785.96,-852.4126320003501,731.8327200460861,661.4561642,21456.732578406718,-26374.851643875518
872,768.88,-0.0032101678662002,-0.0142416357994079,2.783669948577881,400,5400,45600,482710573,373849987,1795,806.69,786.46,-853.4682720000535,730.5962255756511,661.2595142,-618.7658423449725,-222.10246876379873
873,769.36,-0.0041466057300567,-0.0193190760910511,2.778217077255249,500,5400,45500,482710450,373851427,1795,806.41,786.96,-854.8350480002347,728.7704153434339,660.9828643,26938.4218478389,-33911.21972061304
874,769.843,0.0011740084737539,-0.0211031846702098,2.7789249420166016,500,5400,45500,482710364,373852397,1801,806.35,787.45,-855.7906800003485,727.5404673140243,660.9262144,33676.311312620084,-42341.71651733537
875,770.322,-0.0010878397151827,-0.0226628147065639,2.7859792709350586,500,5400,45100,482710240,373853844,1782,806.4,787.95,-857.1685680006595,725.7057958995133,660.9795644999999,27525.65595112433,-34227.18354727256
876,770.8,-0.0041432669386267,-0.020978283137083,2.7909460067749023,500,5400,44900,482710154,373854802,1790,806.39,788.45,-858.1241999999838,724.491055884072,660.9729146,25336.07290127562,-31263.604868557668
877,771.28,-0.0048108715564012,-0.0183745399117469,2.791822671890259,500,5400,44800,482709998,373856252,1818,806.2,788.95,-859.8576720005025,722.6519057557905,660.7862647000001,50055.89447100445,53828.23505976106
